recipe_id,ingredients,cooking_instructions,recipe_name,net_price,image_path
39,"pasta, chicken, alfredo sauce, broccoli, garlic","Ingredients:
Pasta: 200 grams (fettuccine or your choice)
Chicken: 200 grams, cooked and diced or shredded
Alfredo Sauce: 1 cup (store-bought or homemade)
Broccoli: 1 cup, cut into small florets
Garlic: 2 cloves, minced
Steps:
1:Cook the Pasta: Boil the pasta in salted water until al dente, then drain and set aside.
2:Steam Broccoli: Steam or blanch the broccoli florets for 3-4 minutes until tender-crisp.
3:Sauté Garlic: In a pan, heat a little oil and sauté minced garlic until fragrant.
4:Combine Sauce and Chicken: Add Alfredo sauce and cooked chicken to the pan, simmering until warmed through.
5:Toss Together: Mix the pasta, broccoli, and sauce mixture, toss well, and serve hot.",Chicken Alfredo with Broccoli,900,Recipes Pictures\Chicken Alfredo with Broccoli.jpeg
40,"shrimp, garlic, lemon, butter, parsley","Ingredients:
Shrimp: 300 grams, peeled and deveined
Garlic: 3 cloves, minced
Lemon: 1 lemon (zest and juice)
Butter: 3 tablespoons
Parsley: 2 tablespoons, chopped
Steps:
1:Melt Butter and Sauté Garlic: In a large skillet, melt butter over medium heat and sauté the minced garlic until fragrant, about 1 minute.
2:Cook the Shrimp: Add the shrimp to the skillet, cooking for 2-3 minutes per side until pink and opaque.
3:Add Lemon Juice and Zest: Stir in the lemon juice and zest, tossing the shrimp to coat evenly.
4:Garnish with Parsley: Remove from heat and sprinkle with fresh parsley for added flavor.
5:Serve: Serve the garlic lemon butter shrimp hot as a main dish or over rice or pasta.",Garlic Lemon Butter Shrimp,950,Recipes Pictures\Garlic Lemon Butter Shrimp.jpeg
41,"chicken, lemon, garlic, rosemary, olive oil","Ingredients:
Chicken: 1 whole chicken (about 1.5 kg) or 4 chicken thighs
Lemon: 1 large (juice and slices)
Garlic: 4 cloves, minced
Rosemary: 2 sprigs, fresh (or 1 teaspoon dried)
Olive Oil: 3 tablespoons
Steps:
1:Preheat and Prep Chicken: Preheat the oven to 375°F (190°C). Pat the chicken dry and place it in a roasting pan.
2:Season the Chicken: Rub the chicken with olive oil, minced garlic, lemon juice, and chopped rosemary.
3:Add Lemon and Rosemary: Place lemon slices and rosemary sprigs on and around the chicken for flavor.
4:Roast the Chicken: Roast in the oven for 45-60 minutes (or until internal temperature reaches 165°F/74°C), basting occasionally.
5:Rest and Serve: Let the chicken rest for 10 minutes before slicing, then serve with your favorite sides.",Lemon Rosemary Roast Chicken,1400,Recipes Pictures\Lemon Rosemary Roast Chicken.jpeg
42,"rice, tofu, broccoli, carrot, soy sauce","Ingredients:
Rice: 1 cup, cooked
Tofu: 200 grams, firm, cubed
Broccoli: 1 cup, florets
Carrot: 1 medium, julienned or sliced
Soy Sauce: 3 tablespoons
Steps:
1:Prepare Tofu: Pat tofu dry, cube it, and sauté in a hot skillet with a little oil until golden on all sides.
2:Cook Vegetables: Add broccoli and carrot to the skillet, stir-frying for 3-5 minutes until tender-crisp.
3:Add Soy Sauce: Pour in the soy sauce and stir well, ensuring tofu and vegetables are evenly coated.
4:Combine with Rice: Serve the stir-fry mixture over a bowl of warm, cooked rice.
5:Garnish and Serve: Optionally, garnish with sesame seeds or scallions for added flavor.",Tofu Stir-Fry,650,Recipes Pictures\Tofu Stir-Fry.jpeg
43,"pasta, marinara sauce, mushroom, onion, basil","Ingredients:
Pasta: 200 grams (spaghetti, penne, or your choice)
Marinara Sauce: 1 cup
Mushroom: 1 cup, sliced (button or cremini mushrooms)
Onion: 1 medium, diced
Basil: 2 tablespoons, fresh, chopped
Steps:
1:Cook the Pasta: Boil the pasta in salted water until al dente, then drain and set aside.
2:Sauté Vegetables: In a pan, sauté the diced onion and sliced mushrooms in olive oil until soft and golden, about 5-7 minutes.
3:Add Marinara Sauce: Stir in the marinara sauce and simmer for 5-10 minutes to combine the flavors.
4:Combine with Pasta: Toss the cooked pasta into the sauce mixture, stirring well to coat evenly.
5:Garnish and Serve: Top with fresh basil and serve hot for a flavorful and comforting meal.",Mushroom Marinara Pasta,1100,Recipes Pictures\Mushroom Marinara Pasta.jpeg
44,"salmon, spinach, lemon, garlic, olive oil","Ingredients
Salmon: 2 fillets (about 200 grams each)
Spinach: 3 cups, fresh
Lemon: 1 lemon (juice and slices for garnish)
Garlic: 3 cloves, minced
Olive Oil: 2 tablespoons
Steps
1:Cook the Salmon: Heat olive oil in a skillet over medium-high heat, and cook the salmon fillets for 4-5 minutes per side until golden and cooked through.
2:Sauté Garlic and Spinach: In the same skillet, add minced garlic and sauté for 1 minute, then add spinach and cook until wilted.
3:Add Lemon Juice: Squeeze lemon juice over the cooked spinach and salmon for a fresh, tangy flavor.$
4:Serve: Plate the salmon, top with the garlic spinach mixture, and garnish with lemon slices for added brightness.",Garlic Spinach Salmon,950,Recipes Pictures\Garlic Spinach Salmon.jpeg
45,"chicken, ranch dressing, bacon, cheese, lettuce","Ingredients:
Chicken: 300 grams, cooked and shredded
Ranch Dressing: 3 tablespoons
Bacon: 4 strips, cooked and crumbled
Cheese: 1/2 cup, shredded (cheddar or your choice)
Lettuce: 1 cup, shredded
Steps:
1:Prepare the Chicken: Shred the cooked chicken and mix it with ranch dressing until well coated.
2:Cook and Crumble Bacon: Cook the bacon until crispy, then crumble it into small pieces.
3:Assemble the Wraps: Place the ranch-coated chicken on a tortilla, and top with crumbled bacon, shredded cheese, and lettuce.
4:Roll and Serve: Roll up the tortilla tightly, slice into wraps, and serve immediately.",Chicken Ranch Wraps,700,Recipes Pictures\Chicken Ranch Wraps.jpeg
47,"pasta, pesto sauce, chicken, sun-dried tomato, spinach","Ingredients:
Pasta: 200 grams (penne or your choice)
Pesto Sauce: 1/3 cup
Chicken: 200 grams, cooked and shredded or cubed
Sun-Dried Tomato: 1/4 cup, chopped
Spinach: 2 cups, fresh
Steps:
1:Cook the Pasta: Boil the pasta in salted water until al dente, then drain and set aside.
2:Sauté Chicken and Tomatoes: In a pan, heat a little oil and sauté the cooked chicken and chopped sun-dried tomatoes for 2-3 minutes.
3:Add Spinach: Stir in the fresh spinach and cook until wilted, about 1-2 minutes.
4:Mix in Pesto and Pasta: Add the pesto sauce to the pan, toss in the cooked pasta, and mix everything until well coated.
5:Serve: Plate the pesto chicken pasta, garnish with Parmesan or extra pesto if desired, and serve warm.",Pesto Chicken Pasta,800,Recipes Pictures\Pesto Chicken Pasta.jpeg
48,"shrimp, pasta, tomato, garlic, chili flakes","Ingredients:
Shrimp: 200 grams, peeled and deveined
Pasta: 200 grams (spaghetti or your choice)
Tomato: 2 large, diced (or 1 cup canned diced tomatoes)
Garlic: 3 cloves, minced
Chili Flakes: 1 teaspoon
Steps:
1:Cook the Pasta: Boil the pasta in salted water until al dente, then drain and set aside.
2:Sauté Garlic and Shrimp: Heat oil in a pan, add minced garlic and chili flakes, then sauté shrimp until pink and cooked through (2-3 minutes).
3:Prepare the Tomato Sauce: Add diced tomatoes to the pan, simmer for 5-7 minutes, and season with salt and pepper.
4:Combine with Pasta: Toss the cooked pasta into the tomato-shrimp sauce, mixing well to coat evenly.
5:Serve: Plate the spicy tomato shrimp pasta, garnish with fresh herbs if desired, and serve hot.",Spicy Tomato Shrimp Pasta,950,Recipes Pictures\Spicy Tomato Shrimp Pasta.jpeg
49,"beef, potato, carrot, onion, beef broth","Ingredients:
Beef: 500 grams, cubed (stew meat or chuck roast)
Potato: 2 medium, peeled and cubed
Carrot: 2 medium, peeled and sliced
Onion: 1 large, diced
Beef Broth: 4 cups
Steps:
1:Sear the Beef: In a large pot, heat oil and sear beef cubes until browned on all sides, then remove and set aside.
2:Sauté the Vegetables: Add diced onion, carrot, and potato to the pot, cooking for 5 minutes until slightly softened.
3:Deglaze with Broth: Return the beef to the pot and pour in beef broth, scraping the bottom of the pot to release any browned bits.
4:Simmer the Stew: Cover and simmer on low heat for 1.5-2 hours until the beef is tender and the flavors meld together.
5:Serve: Adjust seasoning with salt and pepper, then ladle the hearty stew into bowls and serve warm.",Beef Stew,1050,Recipes Pictures\Beef Stew.jpeg
52,"spaghetti, garlic, olive oil, red pepper flakes, parsley","Ingredients:
Spaghetti: 200 grams
Garlic: 4 cloves, thinly sliced
Olive Oil: 1/4 cup
Red Pepper Flakes: 1 teaspoon (adjust to taste)
Parsley: 2 tablespoons, fresh, chopped
Steps:
1:Cook the Spaghetti: Boil the spaghetti in salted water until al dente, reserve 1/2 cup pasta water, and drain.
2:Sauté Garlic: Heat olive oil in a pan, add sliced garlic, and cook over medium heat until golden and fragrant.
3:Add Red Pepper Flakes: Stir in red pepper flakes, cooking briefly to release their flavor without burning.
4:Combine Pasta: Toss the cooked spaghetti in the pan, adding reserved pasta water as needed to coat evenly.
5:Garnish and Serve: Sprinkle with chopped parsley, toss, and serve immediately for a simple, flavorful dish.
",Aglio e Olio,750,Recipes Pictures\Aglio e Olio.jpeg
53,"beef, mushrooms, onion, sour cream, butter","Ingredients:
Beef: 400 grams, thinly sliced (sirloin or tenderloin)
Mushrooms: 2 cups, sliced
Onion: 1 medium, diced
Sour Cream: 1/2 cup
Butter: 2 tablespoons
Steps:
1:Sear the Beef: Heat 1 tablespoon of butter in a pan and sear beef slices for 2-3 minutes until browned, then set aside.
2:Sauté Vegetables: In the same pan, melt the remaining butter, then sauté diced onions and sliced mushrooms until softened.
3:Make the Sauce: Add sour cream to the pan, mix well, and let it simmer gently for 2-3 minutes.
4:Combine Beef and Sauce: Return the seared beef to the pan, stir to coat with the sauce, and cook for another 2-3 minutes.
5:Serve: Serve the beef stroganoff over noodles, rice, or mashed potatoes, garnished with fresh parsley if desired.",Beef Stroganoff,700,Recipes Pictures\Beef Stroganoff.jpeg
54,"chicken, bell pepper, onion, black beans, corn","Ingredients:
Chicken: 300 grams, cooked and shredded or cubed
Bell Pepper: 1 large, diced
Onion: 1 medium, diced
Black Beans: 1 cup, cooked or canned (drained and rinsed)
Corn: 1 cup, cooked or canned (drained)
Steps:
1:Sauté Vegetables: Heat oil in a pan, then cook diced bell pepper and onion for 5 minutes until softened.
2:Add Chicken: Stir in the cooked chicken, cooking for 2-3 minutes until heated through.
3:Mix in Beans and Corn: Add black beans and corn to the pan, stir well, and season with salt, pepper, and optional spices like cumin.
4:Simmer Together: Cook for another 5 minutes to let the flavors meld, stirring occasionally.
5:Serve: Scoop into bowls, garnish with fresh herbs or cheese if desired, and enjoy warm.",Chicken and Black Bean Bowl,900,Recipes Pictures\Chicken and Black Bean Bowl.jpeg
55,"pasta, pesto sauce, pine nuts, parmesan cheese, basil","Ingredients:
Pasta: 200 grams (spaghetti, penne, or your choice)
Pesto Sauce: 1/3 cup
Pine Nuts: 2 tablespoons, toasted
Parmesan Cheese: 1/4 cup, grated
Basil: 2 tablespoons, fresh, chopped
Steps:
1:Cook the Pasta: Boil the pasta in salted water until al dente, then reserve 1/4 cup pasta water and drain.
2:Toast Pine Nuts: In a dry skillet, toast pine nuts over medium heat for 2-3 minutes until golden and fragrant.
3:Combine Pasta and Pesto: Toss the cooked pasta with pesto sauce, adding a splash of reserved pasta water to coat evenly.
4:Add Toppings: Mix in toasted pine nuts and half of the grated Parmesan, stirring gently to combine.
5:Serve: Plate the pasta, garnish with fresh basil and remaining Parmesan, and serve warm.",Pesto Pasta with Pine Nuts,1100,Recipes Pictures\Pesto Pasta with Pine Nuts.jpeg
56,"salmon, garlic, ginger, soy sauce, honey","Ingredients:
Salmon: 4 fillets (150-200 grams each)
Garlic: 3 cloves, minced
Ginger: 1 teaspoon, freshly grated
Soy Sauce: 1/4 cup
Honey: 2 tablespoons
Steps:
1:Prepare the Marinade: In a bowl, mix soy sauce, honey, minced garlic, and grated ginger to create a flavorful marinade.
2:Marinate the Salmon: Place the salmon fillets in the marinade for 15-20 minutes, turning occasionally to coat well.
3:Cook the Salmon: Heat a pan over medium heat, then sear the salmon fillets skin-side down for 3-4 minutes.
4:Add Marinade: Pour the remaining marinade into the pan and cook for another 3-4 minutes until the salmon is fully cooked and glazed.
5:Serve: Plate the honey garlic salmon with a drizzle of sauce from the pan, and garnish with optional herbs or sesame seeds.",Honey Garlic Salmon,1100,Recipes Pictures\Honey Garlic Salmon.jpeg
60,"shrimp, garlic, lemon, parsley, white wine","Ingredients:
Shrimp: 200 grams, peeled and deveined
Garlic: 3 cloves, minced
Lemon: 1, juiced and zested
Parsley: 2 tablespoons, freshly chopped
White Wine: 1/3 cup
Linguine: 200 grams
Steps:
1:Cook the Linguine: Boil linguine in salted water until al dente, then reserve 1/4 cup pasta water and drain.
2:Sauté Garlic and Shrimp: Heat oil in a pan, cook minced garlic until fragrant, then add shrimp and sauté until pink and cooked through.
3:Deglaze with Wine: Pour white wine into the pan, simmer for 2 minutes, and stir in lemon juice and zest.
4:Combine with Linguine: Toss the cooked linguine into the pan with the shrimp and sauce, adding reserved pasta water if needed.
5:Serve: Plate the pasta, garnish with fresh parsley, and serve warm with a sprinkle of Parmesan if desired",Garlic Lemon Shrimp Linguine,900,Recipes Pictures\Garlic Lemon Shrimp Linguine.jpeg
61,"chicken, bell pepper, onion, pineapple, teriyaki sauce","Ingredients:
Chicken: 400 grams, diced (boneless, skinless)
Bell Pepper: 1 large, diced
Onion: 1 medium, diced
Pineapple: 1 cup, diced (fresh or canned, drained)
Teriyaki Sauce: 1/3 cup
Steps:
1:Cook the Chicken: In a skillet, heat oil and cook diced chicken for 5-7 minutes until golden and fully cooked.
2:Sauté Vegetables: Add diced bell pepper and onion to the skillet, cooking until tender-crisp, about 3-4 minutes.
3:Add Pineapple: Stir in pineapple chunks and cook for 2-3 minutes to lightly caramelize.
4:Add Teriyaki Sauce: Pour in the teriyaki sauce, stir to coat evenly, and simmer for 2-3 minutes to blend flavors.
5:Serve: Plate the teriyaki chicken with pineapple over rice or noodles, garnished with sesame seeds or green onions if desired.",Teriyaki Chicken with Pineapple,1000,Recipes Pictures\Teriyaki Chicken with Pineapple.jpeg
62,"rice, ground beef, black beans, bell pepper, salsa","Ingredients:
Rice: 1 cup, uncooked
Ground Beef: 300 grams
Black Beans: 1 can (15 ounces), drained and rinsed
Bell Pepper: 1 large, diced
Salsa: 1/2 cup
Steps:
1:Cook the Rice: Cook the rice according to package instructions, set aside once done.
2:Brown the Ground Beef: In a large skillet, cook ground beef over medium heat until browned and fully cooked, breaking it apart with a spoon.
3:Sauté Vegetables: Add diced bell pepper to the beef, sautéing for 3-4 minutes until softened.
4:Combine Beans and Salsa: Stir in black beans and salsa, mixing well, and simmer for 5 minutes to heat through.
5:Serve: Serve the beef and vegetable mixture over the cooked rice, garnishing with cilantro or cheese if desired.",Mexican Beef and Rice,1250,Recipes Pictures\Mexican Beef and Rice.jpeg
63,"pasta, tomato sauce, mozzarella cheese, basil, olive oil","Ingredients:
Pasta: 200 grams (any type, such as spaghetti or penne)
Tomato Sauce: 1 cup
Mozzarella Cheese: 1 cup, shredded or fresh mozzarella (torn into pieces)
Basil: 1/4 cup, fresh, chopped
Olive Oil: 2 tablespoons
Steps:
1:Cook the Pasta: Boil pasta in salted water until al dente, then drain, reserving 1/4 cup pasta water.
2:Heat Tomato Sauce: In a pan, heat tomato sauce over medium heat with olive oil, stirring to combine and warm through.
3:Combine Pasta and Sauce: Add the cooked pasta to the sauce, tossing to coat, adding reserved pasta water if needed to thin the sauce.
4:Add Mozzarella and Basil: Stir in the mozzarella cheese until melted, then sprinkle in fresh basil and mix gently.
5:Serve: Plate the pasta, drizzle with extra olive oil if desired, and garnish with more basil and mozzarella.",Caprese Pasta,650,Recipes Pictures\Caprese Pasta.jpeg
64,"salmon, asparagus, garlic, lemon, butter","Ingredients:
Salmon: 4 fillets (about 150-200 grams each)
Asparagus: 1 bunch, trimmed
Garlic: 3 cloves, minced
Lemon: 1, juiced and zested
Butter: 3 tablespoons
Steps:
1:Prepare the Asparagus: Preheat oven to 400°F (200°C). Place trimmed asparagus on a baking sheet, drizzle with olive oil, salt, and pepper.
2:Cook the Salmon: Season salmon fillets with salt, pepper, and lemon zest. Place on the same baking sheet as the asparagus.
3:Melt Butter and Garlic: In a small pan, melt butter and sauté minced garlic for 1-2 minutes until fragrant.
4:Roast in the Oven: Place the baking sheet in the oven, roasting for 12-15 minutes until the salmon is cooked through and flakes easily.
5:Finish and Serve: Drizzle the garlic butter over the salmon and asparagus, squeeze lemon juice over, and serve immediately.",Lemon Butter Salmon and Asparagus,1100,Recipes Pictures\Lemon Butter Salmon and Asparagus.jpeg
66,"pasta, garlic, anchovies, red pepper flakes, olive oil","Ingredients:
Pasta: 200 grams (spaghetti or other long pasta)
Garlic: 4 cloves, thinly sliced
Anchovies: 3-4 fillets, finely chopped
Red Pepper Flakes: 1/2 teaspoon (adjust to taste)
Olive Oil: 3 tablespoons
Steps:
1:Cook the Pasta: Boil the pasta in salted water until al dente, then drain, reserving 1/4 cup of pasta water.
2:Sauté Garlic and Anchovies: Heat olive oil in a pan over medium heat, add sliced garlic and chopped anchovies, cooking until garlic is golden and fragrant.
3:Add Red Pepper Flakes: Stir in red pepper flakes and cook for 30 seconds to infuse the oil with spice.
4:Combine Pasta and Sauce: Add the cooked pasta to the pan, tossing to coat, adding reserved pasta water as needed to create a smooth sauce.
5:Serve: Plate the pasta, drizzle with extra olive oil if desired, and garnish with fresh parsley or grated Parmesan.",Spaghetti Aglio e Olio,750,Recipes Pictures\Spaghetti Aglio e Olio.jpeg
67,"chicken, bell pepper, onion, zucchini, taco seasoning","Ingredients:
Chicken: 400 grams, boneless, skinless, diced
Bell Pepper: 1, diced
Onion: 1 medium, diced
Zucchini: 1 medium, diced
Taco Seasoning: 1 packet (or 2 tablespoons homemade)
Steps:
1:Cook the Chicken: Heat a pan over medium heat, add diced chicken, and cook until browned and cooked through, about 7-8 minutes.
2:Sauté the Vegetables: Add diced bell pepper, onion, and zucchini to the pan, cooking until softened, about 5 minutes.
3:Add Taco Seasoning: Stir in the taco seasoning, adding a splash of water (about 1/4 cup) to help create a sauce.
4:Simmer and Combine: Let the mixture simmer for 3-4 minutes, allowing the flavors to meld and the sauce to thicken.
5:Serve: Use the chicken taco filling in soft or hard taco shells, and top with your favorite toppings like cheese, salsa, and sour cream.",Chicken Taco Filling,500,Recipes Pictures\Chicken Taco Filling.jpeg
68,"rice, shrimp, peas, carrots, soy sauce","Ingredients:
Rice: 2 cups, cooked (preferably cold, day-old rice works best)
Shrimp: 300 grams, peeled and deveined
Peas: 1/2 cup, frozen
Carrots: 1/2 cup, diced
Soy Sauce: 2 tablespoons
Steps:
1:Cook the Shrimp: Heat a pan over medium-high heat, cook shrimp until pink and opaque, about 2-3 minutes per side. Remove shrimp and set aside.
2:Sauté the Vegetables: In the same pan, add diced carrots and peas, sauté for 2-3 minutes until tender.
3:Stir-Fry the Rice: Add the cold rice to the pan, breaking up clumps and stirring to combine with the vegetables.
4:Add Soy Sauce: Pour soy sauce over the rice, mixing well to coat all the ingredients evenly.
5:Combine Shrimp and Serve: Add the cooked shrimp back to the pan, stir to combine, and cook for an additional 2-3 minutes before serving.",Shrimp Fried Rice,850,Recipes Pictures\Shrimp Fried Rice.jpeg
69,"beef, bell pepper, onion, tomatoes, chili powder","Ingredients:
Beef: 500 grams, ground
Bell Pepper: 1, diced
Onion: 1 medium, diced
Tomatoes: 2 medium, chopped (or 1 can of diced tomatoes)
Chili Powder: 2 tablespoons (adjust to taste)
Steps:
1:Cook the Beef: In a large pot, brown the ground beef over medium heat, breaking it up as it cooks. Drain excess fat if needed.
2:Sauté the Vegetables: Add diced onion and bell pepper to the pot, cooking for 5 minutes until softened.
3:Add Tomatoes and Chili Powder: Stir in chopped tomatoes and chili powder, letting the mixture simmer for 10 minutes to develop flavors.
4:Simmer and Season: Adjust seasoning with salt, pepper, or extra chili powder if desired, then simmer for another 15-20 minutes.
5:Serve: Ladle the chili into bowls, and serve with toppings like cheese, sour cream, or cilantro if desired.",Chili Con Carne,350,Recipes Pictures\Chili Con Carne.jpeg
71,"pasta, alfredo sauce, shrimp, spinach, garlic","Ingredients:
Pasta: 300 grams (fettuccine or penne works best)
Alfredo Sauce: 1 1/2 cups (store-bought or homemade)
Shrimp: 300 grams, peeled and deveined
Spinach: 2 cups, fresh
Garlic: 3 cloves, minced
Steps:
1:Cook the Pasta: Boil the pasta in salted water until al dente, then drain and set aside.
2:Cook the Shrimp: In a pan, sauté shrimp in olive oil over medium heat with minced garlic for 2-3 minutes until pink. Remove and set aside.
3:Sauté the Spinach: In the same pan, add spinach and cook until wilted, about 1-2 minutes.
4:Combine Alfredo Sauce: Add Alfredo sauce to the pan, heat gently, and stir in the cooked pasta.
5:Finish with Shrimp: Add the shrimp back to the pan, toss to coat, and serve warm.",Shrimp and Spinach Alfredo,1100,Recipes Pictures\Shrimp and Spinach Alfredo.jpeg
72,"chicken, bell pepper, onion, black beans, rice","Ingredients:
Chicken: 400 grams, diced
Bell Pepper: 1, diced
Onion: 1 medium, diced
Black Beans: 1 cup, cooked or canned (drained and rinsed)
Rice: 2 cups, cooked
Steps:
1:Cook the Chicken: Heat a pan over medium heat, cook diced chicken until browned and cooked through, about 8-10 minutes.
2:Sauté Vegetables: Add diced onion and bell pepper to the pan, cooking until softened, about 5 minutes.
3:Add Black Beans: Stir in black beans and heat through, letting the flavors combine for 2-3 minutes.
4:Combine with Rice: In a large bowl or serving dish, layer the cooked rice and top with the chicken, vegetable, and bean mixture.
5:Serve: Garnish with your choice of salsa, cheese, or cilantro, and serve warm.",Chicken and Black Bean Rice Bowl,900,Recipes Pictures\Chicken and Black Bean Rice Bowl.jpeg
73,"potatoes, bacon, cheddar cheese, sour cream, chives","Ingredients:
Potatoes: 4 large, baked
Bacon: 4 slices, cooked and crumbled
Cheddar Cheese: 1 cup, shredded
Sour Cream: 1/2 cup
Chives: 2 tablespoons, finely chopped
Steps:
1:Prepare the Potatoes: Cut baked potatoes in half, scoop out the center leaving a thin layer of potato, and set aside the skins.
2:Crisp the Skins: Brush the potato skins with olive oil, place them on a baking sheet, and bake at 400°F (200°C) for 10 minutes.
3:Add Toppings: Fill each skin with shredded cheddar cheese and crumbled bacon, then bake for an additional 5 minutes until cheese melts.
4:Finish with Garnish: Top each potato skin with a dollop of sour cream and sprinkle with chopped chives.
5:Serve: Serve the loaded potato skins hot as an appetizer or side dish.


",Loaded Potato Skins,500,Recipes Pictures\Loaded Potato Skins.jpeg
74,"beef, bell pepper, onion, mushrooms, garlic","Ingredients:
Beef: 500 grams, thinly sliced (sirloin or tenderloin)
Bell Pepper: 1, sliced
Onion: 1 medium, thinly sliced
Mushrooms: 2 cups, sliced
Garlic: 3 cloves, minced
Steps:
1:Cook the Beef: Sear sliced beef in a hot skillet with oil over medium-high heat for 3-4 minutes. Remove and set aside.
2:Sauté Vegetables: In the same skillet, sauté onion, bell pepper, and garlic for 2-3 minutes, then add mushrooms and cook until softened.
3:Combine with Beef: Return the beef to the skillet, mix with the vegetables, and season with salt and pepper.
4:Simmer with Sauce: Add a stroganoff sauce (sour cream and broth, or a store-bought option) and simmer for 5-7 minutes.
5:Serve: Spoon over cooked pasta or rice, garnish with parsley, and serve warm.",Beef and Mushroom Stroganoff,1450,Recipes Pictures\Beef and Mushroom Stroganoff.jpeg
75,"pasta, tomato sauce, ground turkey, garlic, basil","Ingredients:
Pasta: 300 grams (spaghetti or your choice)
Tomato Sauce: 2 cups
Ground Turkey: 400 grams
Garlic: 3 cloves, minced
Basil: 2 tablespoons, chopped
Steps:
1:Cook the Pasta: Boil pasta in salted water until al dente, then drain and set aside.
2:Cook the Turkey: Sauté ground turkey in a skillet with olive oil over medium heat until browned, about 5-7 minutes.
3:Add Garlic and Sauce: Stir in minced garlic and tomato sauce, then simmer for 10 minutes to blend flavors.
4:Incorporate Basil: Add chopped basil to the sauce, stirring well, and season with salt and pepper to taste.
5:Serve: Toss the sauce with cooked pasta, garnish with extra basil, and serve warm.",Turkey Bolognese,1100,Recipes Pictures\Turkey Bolognese.jpeg
76,"salmon, garlic, ginger, soy sauce, sesame seeds","Ingredients:
Salmon: 4 fillets (about 500 grams)
Garlic: 3 cloves, minced
Ginger: 1 tablespoon, freshly grated
Soy Sauce: 1/4 cup
Sesame Seeds: 2 tablespoons, toasted
Steps:
1:Prepare the Marinade: Mix soy sauce, minced garlic, and grated ginger in a bowl.
2:Marinate the Salmon: Place salmon fillets in the marinade for 20 minutes in the refrigerator.
3:Cook the Salmon: Sear salmon in a skillet over medium heat for 3-4 minutes per side, or bake at 400°F (200°C) for 12-15 minutes.
4:Add Sesame Seeds: Sprinkle toasted sesame seeds over the cooked salmon.
5:Serve: Plate the salmon, optionally garnishing with green onions, and serve with rice or steamed vegetables.",Sesame Ginger Salmon,1000,Recipes Pictures\Sesame Ginger Salmon.jpeg
78,"pasta, alfredo sauce, bacon, peas, parmesan cheese","Ingredients:
Pasta: 300 grams (fettuccine or penne)
Alfredo Sauce: 1 ½ cups
Bacon: 6 slices, cooked and crumbled
Peas: 1 cup, cooked
Parmesan Cheese: ½ cup, grated
Steps:
1:Cook the Pasta: Boil pasta in salted water until al dente, then drain and set aside.
2:Prepare Bacon: Cook bacon until crispy, crumble, and set aside.
3:Heat Alfredo Sauce: Warm the Alfredo sauce in a skillet over medium heat, stirring occasionally.
4:Combine Ingredients: Mix the pasta, peas, and crumbled bacon into the Alfredo sauce and heat through.
5:Serve: Plate the pasta, sprinkle with Parmesan cheese, and serve warm.",Bacon Alfredo Pasta,750,Recipes Pictures\Bacon Alfredo Pasta.jpeg
79,"shrimp, garlic, lemon, parsley, linguine","Ingredients:
Shrimp: 400 grams, peeled and deveined
Garlic: 4 cloves, minced
Lemon: 1, zested and juiced
Parsley: 2 tablespoons, chopped
Linguine: 300 grams
Steps:
1:Cook the Linguine: Boil linguine in salted water until al dente, then drain and reserve ½ cup of pasta water.
2:Sauté Garlic: In a skillet, heat olive oil and sauté minced garlic over medium heat until fragrant, about 1 minute.
3:Cook the Shrimp: Add shrimp to the skillet and cook until pink and opaque, about 3-4 minutes.
4:Add Lemon and Pasta: Stir in lemon juice, zest, and reserved pasta water, then toss in the linguine to coat.
5:Serve: Plate the pasta, garnish with parsley, and serve warm.",Lemon Garlic Shrimp Linguine,1000,Recipes Pictures\Lemon Garlic Shrimp Linguine.jpeg
80,"chicken, bell pepper, onion, pineapple, sweet and sour sauce","Ingredients:
Chicken: 400 grams, boneless and cubed
Bell Pepper: 1, diced
Onion: 1, sliced
Pineapple: 1 cup, chunks (fresh or canned)
Sweet and Sour Sauce: ½ cup
Steps:
1:Cook the Chicken: Sear cubed chicken in a skillet with oil over medium heat until browned and cooked through, about 5-7 minutes.
2:Sauté Vegetables: Add bell pepper and onion to the skillet and stir-fry for 3-4 minutes until tender-crisp.
3:Add Pineapple: Stir in pineapple chunks and cook for 2 more minutes to warm through.
4:Mix the Sauce: Pour sweet and sour sauce over the mixture and toss to coat, letting it simmer for 2-3 minutes.
5:Serve: Plate the stir-fry over rice or noodles and enjoy warm.",Sweet and Sour Chicken Stir-Fry,950,Recipes Pictures\Sweet and Sour Chicken Stir-Fry.jpeg
81,"rice, ground beef, black beans, corn, taco seasoning","Ingredients:
Rice: 2 cups, cooked
Ground Beef: 400 grams
Black Beans: 1 cup, drained and rinsed
Corn: 1 cup, cooked
Taco Seasoning: 2 tablespoons
Steps:
1:Cook the Ground Beef: Sauté ground beef in a skillet over medium heat until browned, then drain excess fat.
2:Season the Meat: Add taco seasoning and a splash of water to the beef, stirring until well coated.
3:Heat the Beans and Corn: Warm black beans and corn in a separate pan or microwave.
4:Assemble the Bowl: Layer cooked rice, seasoned beef, black beans, and corn in a bowl.
5:Serve: Optionally top with cheese, sour cream, or salsa, and serve warm.",Taco Rice Bowls,700,Recipes Pictures\Taco Rice Bowls.jpeg
